firstname	1_year	1_count	2_year	2_count
abdouramane		32		
abdourrahman		38		
abdourrahmane		42		
abdrahamane		72		
abdrahim		63		
abdrahman		60		
abdrahmane		67		
abdramane	2015	147		
abdsamad	1985	81		
abdul	2014	332		
abdul-aziz		20		
abdul-kadir		30		
abdul-malik		29		
abdul-rahman		34		
abdul-samet		32		
abdulah		45		
abdulaziz		29		
abdulbaki		43		
abdulhamid		38		
abdulkadir	2005	117		
abdulkerim		44		
abdulla		38		
abdullah	2015	1191		
abdulrahman		43		
abdulsamet		28		
abdurahman		63		
abdurrahim		34		
abdurrahman	2012	197		
abdussamed		40		
abed	2009	558		
abel	2015	23293	1949	186
abelard	1904	35		
abelardo		23		
abele				23
abelia			2005	97
abelina				66
abeline			1907	169
abelino		23		
abella			1939	126
abelle			1947	164
abert		22		
abes		68		
abess		27		
abesse		20		
abi				73
abib		94		
abiba			1969	166
abibatou				63
abibou		23		
abid		123		
abida				62
abidin		24		
abidine		22		
abie				27
abigael		21	2015	1458
abigaelle			2015	1330
abigail			2015	1568
abigal			2015	839
abigalle			2015	643
abilash		38		
abilio	1973	271		
abimael		26		
abinash	2013	42		
abinaya			2012	119
abiola		20		
abir		22	2014	470
abira			2015	59
abiram	2005	20		
abirami				47
abiramy				28
abire				54
abisan	2015	24		
abisha			2015	91
abishan	2015	64		
abishek	2007	23		
abla			1986	395
ablaye		72		
ablia				25
abner		21		
abou	2015	708		25
abou-bakar		45		
abou-baker		25		
abou-bakr	2014	130		
abou-sofiane		26		
aboubacar	2015	1176		
aboubacari		23		
aboubacary		35		
aboubacry	2011	35		
aboubaka		26		
aboubakar	2015	913		
aboubakari	2000	76		
aboubakary	2013	146		
aboubaker	2013	133		
aboubakr	2014	207		
aboubakri		22		
aboubakry		69		
aboudou		74		
aboudoulaye		41		
aboudramane		27		
aboulaye	2011	160		
abraham	2015	2158		
abrahim		41		
abram		44		
abrar				61
abriel		120		
abril				31
absa			2012	53
absatou				37
abu		27		
abubakar		27		
aby			2015	520
aby-gaelle				26
abygael			2015	335
abygaelle			2015	750
abygail				127
abygal			2014	195
abygalle			2015	352
acacia				54
acacio		66		
acelia				22
acelya			2012	370
acene		27		
acha			2015	2836
achata				25
achatou			2012	42
acher	2011	63		
acheraf		25		
achida				20
achil	2014	53		
achile		192		
achille	2015	13088	1965	180
achilles	1919	104		
achillia				29
achim		51		
achley				27
achmi		22		
achot		26		
achouak				46
achour	2011	329		
achoura				24
achraf	2015	1781		31
achrafe		46		
achref		48		
achwak				25
acia			1989	79
acil		80		34
acile				56
acya				21
acyl		36		
ada			2015	613
ada		63	2015	892
adal		23		
adalbert	1956	453		
adalgisa				25
adaline				33
adam	2015	50049	2011	76
adam's		23		
adama	2015	2004	2015	787
adame	2015	1451	2013	75
adamm		25		
adamo	1966	78		
adams	2015	197		
adan	2015	866		
adan	2015	603		
adane		45		
adann		24		
adao		88		
adar	2011	104		
adassa				37
adda	1968	178	1963	203
addam		29		
addel		32		
addil		33		
addison		39	2014	74
addolorata				37
addy		26		
addyson				21
adea				29
adeel	1990	32		
adel	2015	7577		
adela			2014	587
adelade			2013	516
adelaida				33
adelaide	1970	270	2015	9801
adelais				30
adelbert	1956	117		
adele			2015	1385
adeleine				30
adelheid			1914	69
adelia			2012	884
adelice				41
adelie			2015	1774
adelin	2010	757		
adelina			2015	1629
adeline			2015	54154
adelino	1970	361		
adelio		87		
adelisa				32
adelise				62
adelita				32
adella				22
adelle				124
adelma				31
adelmo		35		
adelphe	1913	68		
adelphine			1920	349
adelson	1912	136		
adelya			2015	44
adelyne			1997	266
adelys				31
adem	2015	7052		
adema				26
ademar		46		
ademe	2015	143		
aden	2015	255		
aden	2015	340		24
adena				25
adenise				20
adenora				64
adeodat		30		
aderito	1973	120		
adham	2014	278		
adhan		59		
adhem		49		
adhemar	1924	179		
adhen		31		
adi		74		21
adia			2000	84
adiana				20
adiaratou				45
adib	2015	376		
adiba				34
adidi				25
adidja				35
adiel		32		
adija				25
adil	2015	4652		
adila				116
adile	1988	292		56
adilia				46
adille		23		
adilson		92		
adim		47		
adin		54		
adina			2015	124
adine			1922	179
adis		53		
adisa				27
adissa				20
adisson				27
aditi				23
aditya	1998	56		
adixia			2015	117
adja			2015	379
adjara				26
adjaratou			2005	25
adji		36		77
adjia			1998	66
adjila			1965	76
adjira				23
adjmal		30		
adjoa				20
adjoua				25
adl		21		
adla				36
adlade			2015	1075
adlaide				50
adlan		111		
adlane	2008	204		
adle	1953	99	2015	35355
adlen		154		
adlene		137		
adler		20		
adli		24		
adlia			2015	161
adlie			2015	434
adlina				54
adline				42
adline			1995	118
adlyne				27
adm		75		
admir	2009	52		
adna			2009	55
adnan	2015	801		
adnane	2015	845		
adnen		68		
adnene		64		
adolf	1943	56		
adolfo	1972	175		
adolie			1902	25
adoline				22
adolph	1911	59		
adolpha				43
adolphe	1990	16452	1969	124
adolphine			1960	2205
adon		22		
adona	2012	38		
adonai	2013	63	2006	26
adonay				20
adonia				68
adonie				22
adonis	2015	1335		
adonise				37
adonys		29		
adora				33
adoracion				66
adoration				92
adou		21		
adra				35
adria			2014	151
adriaan		24		
adrian	2015	4563		
adriana			2015	2697
adriane			2004	479
adriann	2015	33		
adrianna			2015	312
adrianne			1989	180
adriano	2015	2152		
adriel	2015	361		
adrielle				38
adrien	2015	133316	1954	21
adrienne			2015	34913
adryan	2012	140		
adryana			2010	59
adryen	1995	132		
ady		26		21
adyl		92		
adyson				31
adysson				32
aedan	2015	408		
aedann		20		
aeden	2015	54		
ael	2013	400	2008	95
aela			2015	474
aelaig				21
aelia			2014	449
aelig	2012	139	2009	118
aeline				34
aelis			2014	183
aelita				40
aella				53
aelle			2008	103
aelya				65
aelya				46
aelyne				24
aelynn				21
aelys			2015	351
aena				25
aenaelle				37
aenor			2013	185
aenora				26
aeris				102
aeron		43		
aeryn				79
aeryne				22
aerys				22
aesa				70
afaf			1988	306
afafe				55
afeda				21
afef			1994	171
affaf				34
affef				21
affif		51		
affoue				21
afi				35
afia			2014	54
afid		53		
afida			1966	144
afif	2003	317		
afifa			1979	147
afnan				37
afnane			2010	136
afnene				21
afonso	2015	167		
afra				46
afrah				42
africa				27
afsa				37
aftab		24		
afton				48
aftone				23
afzal		26		
agapito		21		
agar				21
agash	2003	44		
agata			2014	189
agate			2013	239
agatha			2015	510
agathe	1968	205	2015	43292
agathon	1909	78		
agenor	1925	230		
aghilas	1998	95		
aghiles	2014	143		
agim		32		
agit		44		
agla			2015	250
aglae			2011	1512
aglaee			1920	277
agnan	1970	325	1955	124
agnel	1924	91		
agnela				38
agnella				24
agnes			2015	126
agnesa				34
agnese			1925	186
agniela			1932	43
agnies				54
agnieszka				35
agns	1967	275	2015	112305
agns-marie				56
agop	1932	90		
agostina				35
agostinho	1978	284		
agostino	1957	321		
agrippine				21
agueda				59
aguibou		39		
agustin	1973	189		
agustina			1962	62
agustinho	1973	63		
agustino		22		
ah	1942	32	1938	23
ahad		25		
ahamada		69		
ahamadou		55		
ahamed		57		
aharon	2015	185		
ahava			2015	43
ahcen		84		
ahcene	2012	609		
ahcne		46		
ahkim	1965	29		
ahlam			2013	842
ahlame			1985	270
ahlan		23		
ahlem			2015	1238
ahleme			1985	136
ahlima				38
ahllam				20
ahmad	2015	778		
ahmadou	2014	195		
ahmar		26		
ahmat		38		
ahmed	2015	18815		
ahmed-ali		25		
ahmed-amin		24		
ahmed-amine	2010	118		
ahmed-yacine	2009	50		
ahmed-yassine		71		
ahmel				23
ahmet	2015	2325		
ahmet-can		34		
ahmid	1965	115		
ahna				24
ahou				33
ahoua				26
ahouva				24
ahron		25		
ahsan		32		
ahsen				45
ahsene		20		
ai			2011	45
aia				30
aicha			2015	10993
aichat			2008	31
aichata			2001	121
aichatou			2009	117
aiche			2006	72
aichetou				30
aichouche				35
aid		34		
aida			2015	2545
aidan	2015	1250		
aidann	2005	41		
aidee			1990	130
aidem		21		
aiden	2015	531		24
aidi				22
aifa				21
aigline				30
aignan	1964	44		
aikel		40		
aiko		28	2006	97
aila				44
aileen			2014	249
ailine				44
ailis				40
ailsa				22
ailvin	2000	28		
ailyne				23
ailys			2008	60
aim	2015	770		
aima			1926	296
aimable	1953	1085		129
aimad	1992	227		
aimade		26		
aiman	2007	374		
aimane	2009	306		23
aimar		21		
aime	2014	38790		160
aime		91	2015	27739
aimed	1978	84		
aimee			2015	59
aimel				24
aimeline				127
aimelyne			2006	49
aimen	2009	813		
aimene		72		
aimeric	2010	738		
aimerick	2006	133		
aimery	1995	270		
aimeryc		28		
aimie			2014	918
aimine		25		
aimmee			1928	49
aimran		26		
aimy			2015	1191
aina		100	2015	470
ainara			2015	158
aines			2013	83
ainhoa			2015	983
aini				52
ainis		30		
ainoa			2010	223
ainoha				63
ainsley		21		
aintzane			1981	24
aioub		31		
airelle				89
aires		27		
airon		28		
