firstname	1_year	1_count	2_year	2_count
feres		27		
fergal		36		
fergus		41		
ferhan				27
ferhat	2014	780		
ferial			1994	173
feriale				65
ferid		165		
ferida			1959	92
feride				106
ferie	1954	184		
feriee			1936	23
feriel			2015	1237
feriele				45
ferielle			2009	196
ferima			2010	36
ferit		48		
ferjeux	1941	75		
ferlande			1916	25
ferly	1973	27		
fermin		37		
fermina				51
fernand	2015	118588	1944	53
fernanda			2009	1013
fernande		27	1977	85166
fernandez		21		
fernandine			1904	41
fernando	2015	4655		
feroudja				33
ferouse				23
ferouz			1971	160
ferouze				107
ferreol	2010	336		
ferrer	1913	44		
ferrier	1939	50		
ferrol	2014	74		
ferroudja				62
ferruccio		55		
ferrucio		22		
ferry		51		
feruccio		25		
feryal				107
feryel			2015	886
feryelle			2008	53
fessal		32		
feta				28
fetah	1984	46		
feten			1984	67
fethi	1999	798		
fethia				39
fethy		73		
fetih		22		
fetiha				39
fetta				54
fettah		23		
fevrier		20		
fevzi		60		
feycal		30		
feyriel			2012	27
feyrouz				75
feyyaz		33		
feyza			2015	681
feyza-nur				29
feyzanur				44
feza				23
fiacre	1952	194	1941	59
fiana				28
fibie				22
fiby			2004	59
fida				42
fidan				122
fidel	1968	174		
fidele	1948	630	1945	164
fidelia			1942	149
fideline			1926	408
fidelio		24		
fidelis	1932	28		
fides				27
fidji		42	1994	292
fidjie				28
fidjy				60
fidline			2012	23
fidy		20		
fifi			1966	72
figen				152
fikret		93		
fikri		70		
fikriye				36
fili				20
filip	2015	572		
filipa				97
filipe	2006	2456		
filipine				38
filipo		21		
filippa				81
filippe		60		
filippina				23
filippine				21
filippo	2014	350		
filiz			2007	728
fillette			1928	20
filly				31
filomena			1974	346
filomene				51
fily	2014	62	2015	173
fina				63
finda			1995	72
finlay		43		
finley		30		
finn	2015	107		
fiona			2015	11088
fionna				66
fiora			2013	120
fioravante		28		
fioravanti		30		
fiorella			2005	417
fiorenza				60
fiorenzo	2012	136		
fiorina			1923	121
fiorine				28
fiorino		23		
firas	2015	500		
firass		59		
firasse		40		
firat	2012	292		
firdaous			2015	419
firdaouss				41
firdaousse				71
firdaws			2015	1038
firdawse				21
firdawss				25
firdawsse			2013	24
firdes				44
firdevs				148
firiel				29
firma			1926	66
firmaine				23
firmin	2015	8407	1954	143
firmina				35
firmine			1966	449
firmino		29		
firouz				78
firouze			1968	83
firoza				22
fitia				72
fitzgerald		54		
fiza				43
flamine				95
flaminia				36
flaubert		32		
flaura				41
flaure				54
flaurent		20		
flauriane				24
flaurine				31
flavia			2015	1219
flavian	2011	838		
flaviana			1993	46
flavie			2015	18079
flavien	2015	14397	1956	74
flavienne			1973	466
flavine				20
flavio	2015	3214		
flavius	1947	88		
flavy		24	2013	791
flavye				21
flemata				21
fletcher		34		
fleur			2015	4844
fleur-anne				40
fleure			1908	63
fleurentine				30
fleurestine				38
fleuret		24		
fleurette				191
fleurian		33		
fleuriane			1995	183
fleurianne				38
fleurice			1910	21
fleurida				20
fleurie			1926	55
fleurina				45
fleurine			2007	780
fleuris	1914	29		
fleurisse				23
fleury	1957	1099		
flicia			2015	366
flicie			2015	544
flicien	2015	326		
flicienne			1959	50
flicit			2014	147
flix	2015	47649	1966	304
flo				41
floane				21
floe				31
flor			1982	139
flora	1939	87	2015	19748
floraine				124
floral		43		
floralie			2006	107
floraline			1992	54
floran	2002	602		
florana				31
florance				44
florane			2008	404
floranie				32
floranne				66
florant		58		
florbela			1972	89
florbella				24
flore	1941	63	2015	11492
flore-anne				131
flore-marie				20
floreal	1961	771		
florella				47
florelle			2003	555
florena				28
florence	1913	22	2015	147934
florence-marie				21
florencia			2015	241
florencio		158		
florene				93
florent	2015	69275	1955	30
florentin	2015	6839	1922	26
florentina			2014	168
florentine			2012	4178
florentino		88		
florenza				26
florenzo		48		
flores				29
florestan	2002	329		
florestine			1923	361
florette			2003	556
floria			2014	487
florian	2015	126889		
floriana			2014	313
floriane			2015	19575
florianna				28
florianne			2010	1237
floriano		65		
floriant	2007	321		
floribert	1963	62		
florica				29
florice		48		
floricia				21
florida			1928	413
floride	1902	35		84
florie			2010	2579
florie-anne				85
florien		175		
florient	2005	616		
florimon		48		
florimond	2011	1450		
florimonde			1929	160
florimont		42		
florin	2009	218		
florina			2010	565
florinda			2002	306
florindo		72		
florine			2015	12878
florinne				63
florio		20		
floris	2012	962		
florise			1988	323
florisse				43
florita			1961	48
florius	1933	36		
florus	1949	75		
florville		27		
flory	1970	67	1985	118
floryan	2007	407		
floryane				112
floryne			2005	189
florys		27		
floryse			1974	77
flossie				30
floyd	2000	163		
flynn		46		
foad		121		
foade		25		
fod	2015	73		
fode	2014	306		
fodel		31		
fodhil		26		
fodi	2014	48		
fodie	2015	272		
fodil	1995	205		
folco		76		
fong		20		
forest		27		
forlan	2010	30		
forrest		28		
fort	1907	29		
fortuna		21	1968	303
fortunat		25		
fortunata				64
fortunato	1957	147		
fortune	1969	2803	1954	115
fortunee			1969	833
foster		20		
fostine				104
fotini				21
fouad	2013	5147		
fouade	1973	154		
foucaud		30		
foucauld	2015	553		
foucault	2001	134		
foudil	1964	144		
foued	2014	1028		
fouede		30		
fouhad	1976	118		
fouhed		92		
foulemata			2014	209
foulematou			1998	63
fouleye				39
fouleymata			2013	71
foulques	1997	202		
foun			2011	55
foune		43	2014	276
founemoussou				26
fourat		31		
fousi		21		
fousia			1983	89
fousseiny		21		
foussene		31		
fousseni	2013	78		
foussenou		47		
fousseny	2011	119		
fousseyni	2006	79		
fousseynou		69		
fouzi	1988	490		
fouzia			1999	2161
fouziha				59
fouzilla				22
fouziya				83
fouzy		25		
fouzya				73
fozia				66
fragan		26		
framboise				38
franc	1986	1600		
franca			1974	908
france	1957	1839	2015	28073
france-aime			1969	57
france-anne			1959	35
france-hlne			1972	52
france-laure				28
france-line			1968	146
france-lise			2000	432
france-lyne			1960	24
france-marie			1965	150
france-may			1971	85
francel		20		
francelin	1929	66		
francelina				31
franceline			1982	1554
francelise			1999	657
francelle				24
francelyne			1971	160
francelyse			1974	51
frances			1957	185
francesa			1947	72
francesca			2015	3195
francesca-maria			2014	31
francesco	2015	2774		
francescu	2015	118		
francescu-maria	2015	29		
franceska			1998	169
francette			1985	7798
franceza			1933	30
franchesca			1994	69
francheska			2001	51
franchette				31
franchin	1952	67		
francia			1998	1808
franciana			2015	38
franciane			2001	1545
francianne			1973	106
francie				22
franciette			1972	22
francile			1970	116
francilia			1903	47
francille			1949	54
francillette			1927	60
francina			2010	149
francine			2014	92724
francinet	1964	190		
francinette			1963	124
francis	2014	166060	1951	22
francisa				50
francisca			2015	2134
francisco	2015	7244		
francisco-javier		33		
francise			1940	282
franciska			2002	254
francisque	1973	4506		39
franciszek	1933	136		
franciszka				36
francius	1983	134		
franck	2015	177720		
franck-alexandre		21		
franck-david		20		
franck-emmanuel		60		
franck-junior		20		
franck-olivier	1999	180		
francki		87		
franckie	1990	408		72
francklin	1966	89		
francky	2002	1996		
franco	2011	2364		
francois	2015	323		
francois-xavier		53		
francoise			2015	70
francy	1951	79		
frandy	2006	39		
franine				22
franis	1953	186		
frank	2007	11379		
franka				45
franki		69		
frankie	1992	365		50
franklin	2015	843		
frankline				23
franky	1995	708		
franny				22
franois	2015	398241	1961	260
franois-alexandre		91		
franois-andr		26		
franois-antoine	1992	24		
franois-baptiste		35		
franois-charles	1979	91		
franois-christophe		21		
franois-david		64		
franois-dominique		36		
franois-emmanuel		79		
franois-eric		38		
franois-frdric		26		
franois-gabriel		40		
franois-guillaume	1970	120		
franois-henri		74		
franois-jean		38		
franois-jerome		37		
franois-joseph	2012	298		
franois-julien	1981	53		
franois-laurent		33		
franois-louis	1954	124		
franois-marie	2014	560		
franois-michel		92		
franois-nicolas		56		
franois-nol		55		
franois-olivier		77		
franois-paul		56		
franois-philippe		40		
franois-pierre		168		
franois-regis	1981	329		
franois-ren		96		
franois-rgis		89		
franois-robert		26		
franois-victor		32		
franois-xavier	2010	7153		
franois-yves		42		
franoise	1936	34	2009	401522
franoise-marie				63
frans	1948	103		
frantz	2014	5934	1963	95
frantzy	2009	50		
franz	1992	1135		
franzette			1967	48
franziska				67
franzy		47		
frdric	2015	327759	1973	241
frdric-franois		30		
frdrica				27
frdrick	2013	509		
frdrik	1976	140		
frdrika				21
frdrique	1989	395	2006	49990
frdy		52		
fred	2014	4267	1953	24
freda				144
freddi	1966	131		
freddie	1961	159		40
freddy	2013	16524		
frederi	1974	64		
frederic	2014	147		
frederica			2002	259
frederich	1907	20		
frederick	2009	4305		34
fredericka				29
fredericke				29
frederico	1982	369		
fredericque				40
frederik	1996	1036		
frederika			1965	166
frederike				35
frederine				22
fredi		59		
fredie		29		
fredine				63
fredj		105		
fredo	1982	228		
fredrick		23		
fredrik		38		
fredy	1999	2532		
freha				28
frejus		28		
freya			2011	127
freyja				44
frial				24
frida			2014	1201
fridolin	1944	258		
fridoline				46
frieda			1955	3224
friede			1944	173
friedrich	1941	155		
friel			2015	158
fritz	1998	826		
fructueuse			1923	32
fructueux	1962	142	1924	33
frumence	1903	50	1935	68
fryderyk		21		
fryel			2014	70
fu		20		
fuad		24		
fuat		65		
fuensanta				21
fulbert	1999	1061	1958	84
fulberte			1967	148
fulcrand	1906	42		
fulgence	1956	245		26
fulgencio		67		
fulgent	1935	50		
fulvia			1926	95
fulvio		142		
fulya				73
funda			1994	450
furcy		66		
furkan	2015	1040		
fyona			2007	168
fyriel				23
gaa			2015	396
gaane				34
gabain		25		
gabi	2014	157		
gabie			2015	198
gabin	2015	29328	1966	159
gabor		65		
gabriel	2015	162000	1960	106
gabriel-marie		28		
gabriela			2015	1331
gabriele	2015	274	2008	568
gabriella			2015	2168
gabrielle		22	2015	95285
gabril	2015	37		
gabrile				49
gabryel	2015	398		
gabryelle				59
gaby	2015	1688	2015	2089
gabyn	2015	79		
gad	2015	300		
gad			2013	31
gaddiel		24		
gadiel		20		
gadig				24
gaedic				25
gaedig			1983	31
gael	2015	27652	1980	697
gaela			1980	147
gaelane				58
gaele			1978	565
gaelic		22		
gaelig		59		
gaell				21
gaella				145
gaellane				26
gaelle			2015	48715
gaelle-anne				44
gaetan	2015	731		
gaetana			1963	216
gaetane			2014	4888
gaetanne			1928	267
gaetano	1974	657		
gaethan		102		
gagik		22		
gagny	2013	81		
gaguik		21		
gaia		20	2015	1221
gaian		26		
gaiane				194
gaid			2009	104
gaidic				24
gaidig			2008	100
gail		33		72
gailor		32		
gailord	1986	39		
gais		42		
gait				34
gaitan		42		
gaizka	2012	52		
gal	2015	4985	1977	167
gala				35
gala			2011	184
galaad	2013	511		
galaan		30		
galadio		20		
galadriel				78
galadrielle				42
galahad		71		
galane				53
galate				35
galatee			2006	113
galdric	2012	157		
gale			1975	125
galeane				27
galen		37		
galia				94
galiane				48
galien		69		
galina				104
galip		33		
galit				33
galith			1998	49
galla				44
galla				37
galle			2015	11070
gallen		20		
gallia				44
galliane				83
gallien		88		
gally				53
galvin		34		
gamal	1971	191		
gamaliel		51		
gamel		71		
gamil		25		
gamliel	2006	67		
gamra				28
gamze			2014	746
ganael		128		33
ganaelle			1993	178
ganal		30		
ganalle				36
gandhi		24		
ganesh		49		
gani		46		
gania				26
gansiry				21
gao				34
gaoussou	2015	208		
gara				26
garaba		24		
garabed	1934	90		
garabet		24		
garan		25		
garance		58	2015	8928
garba		20		
garbis		21		
garcia		38		
garcin	1965	57		
garence				80
gareth		66		
gari		28		
garice		60		
garik		22		
garion		23		
garip		27		
garis		48		
garlone				46
garlonn			2000	89
garlonne				21
garmia				31
garo		22		
garris		127		
garry	2008	1502		
gary	2015	5218		
gaspar	2015	875		
gaspard	2015	16035		
gaspare		39		
gasparine			1927	47
gaston	2015	91954	1958	149
gastone				33
gastonia			1957	100
gastonne			1933	178
gastonnette				22
gata			2007	26
gatan	2015	51939	1957	158
gatane			2015	672
gatanne				22
gatano		24		
gatien	2015	2888	1943	40
gatienne			1964	287
gatta				28
gaud				51
gaudens		26		
gauderic		81		
gauderique	1918	60		
gaulthier		202		
gaultier	2009	594		
gauthier	2015	15678		
gautier	2015	8496		
gauvain	2003	416		
gauvin		37		
gavin	2004	256		
gavina				26
gavino		41		
gavriel		25		
gavroche		38		
gawen	2008	60		
gaya	2015	150		120
gayan		21		
gayan				32
gayane			2009	147
gayanee				20
gaye	2012	189		37
gayelord		25		
gaylor	2006	495		
gaylord	2005	2188		
gazi		44		
gdon		55		
gebril	2010	307		
gedeon	2009	485		
geena				36
geffrey	1991	94		
gelindo		25		
gelsomina				37
gema			1970	83
gemael	2008	56		
gemel		35		
gemila				41
gemima			2004	55
gemina				54
gemma			2015	506
gena			2015	251
genael	2009	28		
genaelle				20
genaro		56		
gene		39		
genek		29		
genereuse				22
genereux		36		
genes	1912	51		
genesis			2014	41
genevieve				20
genevievre			1903	53
genevive	1968	239	2006	185974
gengis		32		
genia			1931	174
genie				56
genna			2011	186
gennaro	2010	314		
gennifer				26
genny				98
genofefa				24
genovefa			1940	190
genoveffa				29
genowefa			1932	142
genseric		59		
gentiane				219
gentien		23		
gentil	1961	286		
gentille			1922	38
geo	1937	174		
geoffray	2001	1295		
geoffrette				21
geoffrey	2015	27771		
geoffroi	1930	183		
geoffroy	2015	8820	1973	121
geofrey		51		
geofroy	1924	20		
geordan		24		
geordie		67		
geordy		60		
georg		42		
george	2015	1456	1976	647
georgeline				25
georges	2015	404125	1971	619
georges-alain		23		
georges-alexandre		62		
georges-andr	1970	47		
georges-antoine		32		
georges-edouard		35		
georges-emmanuel		43		
georges-eric	1970	25		
georges-henri	1973	129		
georges-henry	1964	20		
georges-louis	1962	29		
georges-manuel		31		
georges-marie	1989	408		
georget	1979	1349		
georgette			1995	153084
georgi		61		
georgia			2015	1191
georgiana			2011	48
georgiane				64
georgie	1978	92	1997	156
georgina			2005	3673
georgine			1961	1379
georginette				24
georginio	2015	21		
georgio	2009	177		
georgios		33		
georgy	1996	195		
gerald		22		
geralda				57
geralde		66	1961	154
geraldina				22
geraldine			2009	36578
geraldo	2007	111		
geraldy		23		
gerard		43		
gerarda				40
gerarde				88
gerardina				22
gerardine			1969	587
gerardo	1966	270		
geraud	2010	2161	1935	25
gerd	1944	45		
gerda			1980	272
geremi		33		
geremie	1987	86		
geremy	2008	433		
gerhard	1950	173		
geric		74		
gerlando		35		
gerlinde			1944	45
germain	2015	32584	1959	126
germaine	1944	94	1988	211125
german	1971	67		
germana				30
germanie			1960	78
germano	1926	87		
germer		21		
germier	1920	26		
germina			1951	136
germinal	1961	523		
germinale				29
germine				32
gero		21		
gerome	2001	1434		
geromine				99
geronia			1937	27
geronimo		52		
gerry	2003	170		
gersande				191
gersende			2010	825
gerson	1991	86		
gert	1944	25		
gerta			1942	52
gertrud			1911	35
gertruda			1925	27
gertrude	1944	49	1986	4771
gerty			1989	589
gervais	1983	5068	1941	52
gervaise			1971	1423
gerville	1976	110		
gervillia			1916	23
gervine			1963	24
gery	1995	1478		
gesner	1960	63		
gessica				74
gessy		64		46
gexan	2014	48		
geza		21		
ghada				73
ghais	2007	184		
ghaith		23		
ghalem		75		
ghali	2015	141		
ghalia			2015	169
ghanem		29		
ghani		82		
ghania			1985	282
ghaouti		32		
gharib		120		
ghariba				142
ghas		20		
ghassan		57		
ghassen	1994	54		
ghazi	1976	82		
ghenima				30
gheorghe		48		
ghezlane				22
ghilain		27		
ghilaine				90
ghilas	2011	98		
ghiles	2010	159		
ghina				22
ghiselaine			1951	81
ghisele				29
ghislain	2013	12216		
ghislaine			2007	64352
ghislane				51
ghislene			1961	158
ghismonde				23
ghita			2012	173
ghizlaine			1989	141
ghizlan				22
ghizlane			2009	667
ghizlen				20
ghizlene			2009	106
ghizlne				24
ghjulia			2015	359
ghjulian	2015	20		
ghjuliana			2015	38
ghjulianu	2015	59		
ghjuvan	2015	133		
ghjuvanna			2015	33
ghjuvanni	2015	57		
ghofrane			2012	103
ghuilaine				24
ghylaine			1975	93
ghyslain	1983	458		
ghyslaine			1974	2446
gia		72		41
giacinto		38		
giacomina				79
giacomo	2015	592		
giada				86
gian	1999	274		
gian-carlo		30		
gian-franco		21		
giana				43
giancarlo	1973	182		
gianfranco	1964	90		
giani	2014	761		
gianina				55
gianluca	2012	130		
gianna			2013	225
gianni	2015	5809		
giannina				49
gianny	2015	364		
giano		24		
giany	2012	171		
gibran		33		
gibril	2015	398		
gibryl		20		
gibson		51		
gideon		42		
gienek		27		
gienia				37
gienowefa				22
gift			2013	42
gigliola				40
gihad		23		
gihan				35
gihane				132
gihen				31
gihene				22
gil	1994	3581		75
gilaine				20
gilali		31		
gilbert	2014	180111	1956	113
gilberte			1993	62219
gilberthe			1912	117
gilbertine				35
gilberto	2005	351		
gilda		80	2001	2311
gildas	2007	7808	1986	184
gildo		136		
gildwen	1977	42		
gilen	2009	49		
giles	1941	228		
gilette			1968	1481
gilia				40
gilian		165		
giliane			1965	322
gill		120		27
gille	1973	542		
gillen	2010	36		
gilles	2015	175521	1955	160
gillette			1972	2353
gillian	2009	613	2000	315
gilliane			1999	558
gillianne				23
gillie				31
gilmar		25		
gilonne				21
gils		23		
gilson		54		
gimmy	1979	78		
gina			2015	5343
gina-maria				27
gine				21
ginella				22
gines	1970	463		
ginesa			1970	53
ginet		54		
ginete				36
ginetta				72
ginette			1998	131695
ginevra				53
ginez		25		
ginger			1995	222
ginia				23
ginna				37
ginnette				36
ginny				22
gino	2015	6026		
ginot	1979	138		
gio		22		
gioacchino		66		
gioconda				27
gioia			2015	277
giordano	1927	155		
giorgi		87		
giorgia			2015	185
giorgio	2015	425		
giosue		21		
giovan	2015	158		
giovana				168
giovane		47		
giovani	2015	1065		
giovanina			1923	74
giovann	2008	82		
giovanna			2015	1822
giovanne		32		
giovanni	2015	10650		
giovannina			1966	115
giovanny	2015	1013		
giovany	2015	482		
gipsy			1991	330
girard	1973	308		
giraud	1963	42		
gireg	2000	99		
girel	1968	21		
giro		24		
girolamo		84		
girons	1905	24		
gisel		22		
gisela			1944	176
giselaine			1957	281
giselda				33
gisele			2015	35
giselene			1952	70
gisella			1963	88
giselle			1967	7032
gisette			1968	102
gishlaine			1960	269
gislain	1967	599		
gislaine			1977	5042
gisle	1950	81	2015	136986
gisleine			1946	59
gislene			1956	398
gislhain		32		
gislhaine			1969	1064
gismond		20		
gismonde			1957	427
gita			1973	95
gitane			1973	159
giulia			2015	6952
giulian	2015	1218		
giuliana			2015	882
giuliane		21		36
giuliann	2015	100		
giulianna				41
giuliano	2015	690		
giulietta				87
giulio	2015	530		
giullia			2014	81
giullian	2012	59		
giulya			2014	50
giulyan		41		
giuseppa			1967	140
giuseppe	2014	2280		
giuseppina			1979	697
giusy				21
gizele			1937	150
gizelle			1928	197
gizem			2012	626
gkhan		51		
gl				40
gladice				29
gladie			1930	226
gladis			1975	220
gladisse				29
glady				126
gladys			2015	9763
gladysse				24
glantine			2015	129
glaudia				29
glawdys			1996	360
glay				25
glcan				24
gleb		25		
glen	2012	507		
glenda			2008	81
glenn	2015	1544		22
gler				25
glodi		57		
glodie		29		40
glody	2000	61		
gloire	2012	146		82
gloria			2015	2920
gloriane				75
glorianne				20
glory	2015	44		48
glorya				24
glsen				25
glsm				24
glwadys			2004	608
glynis				51
gney	2012	32		
gnilane				26
gnima			1991	89
gnouma				72
gochen		30		
godefroi		63		
godefroy	2002	1120	1962	92
godelaine			1929	60
godeleine			1978	526
godelieve			1922	138
godeline				25
godelive			1913	76
godfroy	1952	209	1945	69
godwin	2015	60		
goeffrey		33		
goery		26		
gohan		98		
gohar				22
gokan		181		
gokay		61		
gokce				46
gokdeniz		27		
gokhan	2006	722		
gokmen		37		
goksel		42		
golan		23		
golbert	1925	23		
golda			2015	116
goldie				22
golven	1934	56		
gonalo	2013	82		
gonca				49
goncalo	2008	115		
gonthier	1943	29		
gontran	2008	1391	1960	129
gontrand	1975	255	1928	43
gonul				131
gonzague	2015	1862		
gonzalo	1973	194		
gonzalve		20		
gopal		21		
gor		21		
gora		40		
goran	2010	916		
gordan		33		
gordana			1982	241
gordon	2013	460		
gorete			1974	116
gorette				54
gorge	1974	101		
gorica			1976	38
gorka	2013	166		
gorkem		98		
gottfried	1934	103		
gottlieb		35		
goudo				36
goulam	1935	37		
goulven	2015	1596		
goulvenn		28		
goulwen	2013	285		
goulwenn		28		
goundo			2015	701
goundoba			2014	267
goustan	2005	55		
govinda		32		
gowtham		20		
gozde				94
graca				77
grace		51	2015	3051
grace-divine				47
grace-emmanuelle				26
grace-marie				23
gracia			2006	356
graciane				94
gracianne			1956	505
graciano	1963	26		
gracie			1965	423
graciela				40
graciella			1979	120
gracielle				29
gracien	1928	88		
gracienne				82
graciete			1974	104
graciette			1904	70
gracieuse			1973	2626
gracieux	1934	27		
gracinda			1962	122
gracy			1955	158
gradi	2009	61		
grady		38		
graham	2005	112		
graig		94		
grald	2009	32082	1950	20
graldine			1997	7108
grant		37		
grard	2014	379465	1968	289
grard-philippe		31		
grasiella				31
grat	1939	63		
gratian	1937	56		
gratiane				84
gratianne			1960	476
gratien	1980	1588	1943	32
gratienne			1977	789
gratieuse			1911	26
graud	1983	311		
grazia			1968	386
graziano		101		
graziela				133
graziella			2002	7497
grazielle			1954	67
grazziella				53
grce			2015	228
greg	2010	772		
gregg		58		
gregoire	2015	417		
gregor	1999	394		
gregori	1998	405		
gregoria				153
gregorian		22		
gregorie	1983	202		33
gregorio	1968	352		
gregory	2015	80977		
greta			2010	328
gretchen				24
grete				24
gretel				91
gretta				35
grgoire	2015	25548	1967	576
grgor		38		
grgori		49		
grgorie		32		
grgory	2015	10475		
grichka		55		
grigor		26		
grigori		40		
grigory		20		
griselda			1989	100
grme		120		
grmy		53		
grome		43		
gry	1971	100		
guadalupe				63
gualbert	1963	412	1941	85
gualberte			1948	73
gualter		27		
gudrun			1944	60
gueda				35
guelor		28		
guenael	2002	1516	1972	63
guenaele			1961	102
guenaelle			1999	1511
guenahel	1964	50		
guenal		49		
guenalle				110
guendalina				20
guenhael	1979	274		
guenhaelle			1972	44
guenia				28
guenievre				85
guenola			1987	625
guenole	2008	825		25
guenolee			1965	71
gueoula				33
guerchom		24		
gueric		118		
guerick		20		
guerin	1914	119		
guerina			1914	24
guerino	1964	227		
guerlain	2007	169		
guerlin		29		
guerline			1995	43
guermia				20
guerric	1986	406		
guerrino	1914	36		
guerschom		39		
guershom		25		
guessy				24
guetty			1985	64
gueven		32		
guevin		26		
guewen	2007	465		
guewenn		30		
guglielmo	1913	85		
gui	1934	311		
guibert	1982	180		
guichard		22		
guida			1970	98
guide	1926	29		
guido	1971	1042		
guigner	1914	40		
guil		24		
guila			2014	152
guilain	1979	494		
guilaine			1986	2696
guilan		28		
guilaume		23		
guilbert	1963	107		
guilem		28		
guilene			1977	521
guilhain		21		
guilhaine				107
guilhaume	1991	227		
guilhem	2015	7753		
guilhen		25		
guilhene			1966	44
guilherm		40		
guilherme	2014	283		
guilhermina				21
guilhermine			1905	53
guilia				51
guilian	2002	255		
guiliana				31
guiliane				31
guiliann		34		
guiliano		46		
guilio		52		
guillain	1986	163		
guillaine			1959	176
guillan		23		
guillaume	2015	222040	1966	148
guillaume-alexandre		87		
guillaumette			1942	464
guillaumine			1918	236
guillelmine				22
guillem	2015	745		
guillemette			2014	3961
guillemin		28		
guillemine				139
guillen		30		
guillerme		27		
guillermine			1921	61
guillermo	2011	329		
guillian	2008	479		
guilliane				21
guillyan	2012	29		
guilmette				59
guilne			1975	53
guilyan		50		
guilyann		27		
guimba		39		
guinel	1993	32		
guiorgui		22		
guirec	2011	454		
guireg		24		
guiseppa			1960	57
guiseppe	1978	1141		
guiseppina			1969	351
guislain	1996	518		
guislaine			1984	1180
guita				28
guito	1981	101		
guive		20		
gul			2002	258
gulay			1982	286
gulbahar				64
gulben				22
gulbeyaz				29
gulcan			1991	285
gulcin			1999	55
guldane				38
gulden				87
gulderen				23
guler				78
guleser				25
gulfidan				26
gulhan				110
gulhanim				26
gulian		28		
gulistan				49
gulizar				49
gullu				76
gulnaz				20
gulnur				50
gulperi				25
gulsah				61
gulsen			1980	173
gulseren				56
gulsum			1989	193
gulsun				86
gulten			1976	124
guluzar				55
gunaelle				29
gunal	1961	141		
gunalle			1971	126
gunay		41		24
guner		20		
gunes				23
guney	2012	117		
gungor		24		
gunol		101		
gunola			1985	110
gunter	1944	158		
gunther	1977	488		
gurbet				54
gurhan		25		
gurkan		182		
gurval	1985	78		
gurvan	2015	1950		
gurvann	2009	123		
gurwal		26		
gurwan	2009	249		
gurwann	2000	48		
gus		27		
gusta				41
gustav	2009	94		
gustave	2015	34325	1959	171
gustavie			1953	253
gustavine			1912	76
gustavo	2015	185		
gustin		128		
gustine				20
gutemberg	1968	34		
guven		90		
guy	2014	265733	1967	221
guy-alain		20		
guy-albert	1986	162		
guy-andr	1981	120		
guy-bernard		20		
guy-claude	1974	38		
guy-daniel		26		
guy-emmanuel		23		
guy-franois		40		
guy-jean		22		
guy-laurent		30		
guy-louis		20		
guy-marc		21		
guy-marie	1955	80		
guy-michel	1964	96		
guy-nol	1974	163		
guy-paul		21		
guy-pierre		48		
guy-ren		23		
guyaume		31		
guybert	1973	30		
guylain	1973	441		
guylaine			1999	7291
guylan	2008	66		
guyleine				37
guylene			1994	3066
guylhaine			1964	45
guylhem		44		
guylian	2011	201		
guyliane				41
guyliann		24		
guyllaume		74		
guyllian		67		
guylne			1984	284
guyonne			1956	177
guyslaine				67
guyto	1974	120		
guyveline				27
gwaenaelle				22
gwanael		49		
gwanaelle			2001	179
gwanalle				25
gwellaouen				27
gweltas		46		
gweltaz	2015	346		
gwen	2013	474	2005	352
gwenael	2011	7815	1997	611
gwenaela				48
gwenaele			1981	490
gwenaella				26
gwenaelle			2012	19131
gwenal	2015	841		76
gwenal		57		
gwenale				62
gwenalle			2015	2601
gwenc'hlan	2000	58		
gwenda				30
gwendael		37		
gwendaelle				71
gwendal	2015	5705		
gwendalina				31
gwendaline				105
gwendall		95		
gwendan		21		
gwendeline			2001	198
gwendelyne				20
gwendhal		40		
gwendolen				23
gwendolina			1997	284
gwendoline			2015	20152
gwendolyn			1991	352
gwendolyne			2009	793
gwendolynn				24
gwendy				58
gwenegan	2007	249		
gwenel		28		
gwenhael		152	1980	76
gwenhaelle			1968	47
gwenhal		27		
gwenn	2007	625	2014	1109
gwenn-ael		22		
gwenna				24
gwennael	1990	398	1969	52
gwennaele				23
gwennaelle			2002	1107
gwennaig				68
gwennal		59		
gwennalle			1985	230
gwennan			1972	81
gwennina			1979	29
gwennola				98
gwennole		69		
gwennoline			1988	90
gwenol		57		
gwenola			2009	3190
gwenole	2008	820		21
gwenolee				36
gwenoline				37
gwenvael	2008	227		
gwenval		28		
gwenvel		28		
gwezheneg		23		
gwilhem		20		
gwilherm	2006	180		
gwladis				35
gwladys			2014	5741
gwnael		27		
gwnaelle				99
gwnal	1984	290		
gwnalle			1997	792
gwnol	1978	72		
gwnola			1986	214
gyan		27		
gyl		54		
gyliane				34
gynette				32
gypsie				106
gypsy				30
gysele			1935	288
gyselle				31
gyslain		106		
gyslaine			1969	796
gyslene				65
ha		23	1997	44
haaron		35		
habby				56
habi			2010	179
habib	2015	2931		
habiba			2014	2091
habibata			1980	102
habibatou			2015	207
habibe		38		84
habibou	2006	102		
habid		38		
habil		51		
habla			1972	66
habsatou				34
haby			2015	880
hacem		31		
hacen	1983	247		
hacena				26
hacene	2006	1090		
hacer			1990	275
hachem		65		
hachemi	1969	194		
hachim	2015	268		
hachime		32		
hachimi		25		
hachimia			2003	55
hachmi	1978	80		
hachmia				22
haci	2007	287		
haciba				65
hacina			1992	367
hacine		69		
hackim		25		
hacne	1961	75		
hada			1998	231
hadama	2007	139		35
hadassa			2014	212
hadassah				27
hadda			1980	560
haddi		31		
hadel	1974	130		
